service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
4_merged_704231077,20190511,20190816,0,0,0,0,0,0,0
3_merged_704231079,20190817,20191227,0,0,0,0,0,0,1
1_merged_704231074,20190511,20190816,1,1,1,1,1,0,0
3_merged_704231075,20190511,20190816,0,0,0,0,0,0,1
4001,20190817,20191227,0,0,0,0,0,0,0
1_merged_704231078,20190817,20191227,1,1,1,1,1,0,0
3401,20190817,20191227,0,0,0,0,0,0,0
2_merged_704231080,20190817,20191227,0,0,0,0,0,1,0
4_merged_704231081,20190817,20191227,0,0,0,0,0,0,0
2_merged_704231076,20190511,20190816,0,0,0,0,0,1,0
