service_id,date,exception_type
4_merged_704231077,20190527,1
4_merged_704231077,20190704,1
1_merged_704231074,20190527,2
1_merged_704231074,20190704,2
4001,20190909,1
4001,20190904,1
4001,20190906,1
4001,20190923,1
4001,20191028,1
4001,20190920,1
4001,20190927,1
4001,20190823,1
4001,20190925,1
4001,20190821,1
4001,20191021,1
4001,20191023,1
4001,20191025,1
4001,20190828,1
4001,20191002,1
4001,20191108,1
4001,20191007,1
4001,20191004,1
4001,20191009,1
4001,20191101,1
4001,20191106,1
4001,20191104,1
4001,20191125,1
4001,20191202,1
4001,20191120,1
4001,20191204,1
4001,20191122,1
4001,20191206,1
4001,20191209,1
4001,20191011,1
4001,20190830,1
4001,20190916,1
4001,20190930,1
4001,20190913,1
4001,20190911,1
4001,20190819,1
4001,20191016,1
4001,20190918,1
4001,20191118,1
4001,20190826,1
4001,20191014,1
4001,20191127,1
4001,20191030,1
4001,20191018,1
4001,20191111,1
4001,20191113,1
4001,20191115,1
1_merged_704231078,20190902,2
1_merged_704231078,20191128,2
1_merged_704231078,20191129,2
3401,20190903,1
3401,20190905,1
3401,20191029,1
3401,20190827,1
3401,20190822,1
3401,20190926,1
3401,20190820,1
3401,20190924,1
3401,20191022,1
3401,20191024,1
3401,20190829,1
3401,20191003,1
3401,20191001,1
3401,20191008,1
3401,20191107,1
3401,20191105,1
3401,20191126,1
3401,20191205,1
3401,20191121,1
3401,20190917,1
3401,20190912,1
3401,20190910,1
3401,20190919,1
3401,20191010,1
3401,20191119,1
3401,20191015,1
3401,20191031,1
3401,20191114,1
3401,20191017,1
3401,20191112,1
3401,20191210,1
3401,20191203,1
2_merged_704231080,20191129,1
4_merged_704231081,20190902,1
4_merged_704231081,20191128,1
