block_id,route_id,direction_id,trip_headsign,shape_id,service_id,trip_id
b_40033,3293,0,,11733,1_merged_704231078,425878
b_40034,3293,0,,11729,1_merged_704231078,425879
b_40033,3293,0,,11732,1_merged_704231078,425876
b_40033,3293,0,,11732,1_merged_704231078,425877
b_40033,3293,0,,11732,1_merged_704231078,425874
b_40033,3293,0,,11732,1_merged_704231078,425875
b_40033,3293,0,,11732,1_merged_704231078,425872
b_40033,3293,0,,11732,1_merged_704231078,425873
b_40031,3293,0,,11730,1_merged_704231078,425870
b_40032,3293,0,,11732,1_merged_704231078,425871
a_39471,3287,1,,11520,1_merged_704231074,420628
a_39472,3287,1,,11520,1_merged_704231074,420629
a_39460,3283,1,,11509,1_merged_704231074,420338
a_39463,3283,1,,11509,1_merged_704231074,420339
a_39476,3287,1,,11520,1_merged_704231074,420620
a_39477,3287,1,,11520,1_merged_704231074,420621
a_39459,3283,1,,11509,1_merged_704231074,420330
a_39461,3283,1,,11509,1_merged_704231074,420331
a_39461,3283,1,,11509,1_merged_704231074,420336
a_39471,3287,1,,11520,1_merged_704231074,420625
a_39463,3283,1,,11509,1_merged_704231074,420334
a_39459,3283,1,,11509,1_merged_704231074,420335
b_39901,3283,1,,11691,1_merged_704231078,424839
b_39905,3283,1,,11691,1_merged_704231078,424838
b_39903,3283,1,,11691,1_merged_704231078,424831
b_39902,3283,1,,11691,1_merged_704231078,424830
b_39905,3283,1,,11691,1_merged_704231078,424833
b_39904,3283,1,,11691,1_merged_704231078,424832
b_39902,3283,1,,11691,1_merged_704231078,424835
b_39901,3283,1,,11691,1_merged_704231078,424834
b_39904,3283,1,,11691,1_merged_704231078,424837
b_39903,3283,1,,11691,1_merged_704231078,424836
a_39580,3309,1,,11620,1_merged_704231074,422662
a_39574,3309,1,,11620,1_merged_704231074,422663
a_39579,3309,1,,11620,1_merged_704231074,422660
a_39432,3309,1,,11620,1_merged_704231074,422661
a_39575,3309,1,,11620,1_merged_704231074,422666
a_39577,3309,1,,11620,1_merged_704231074,422667
a_39569,3309,1,,11620,1_merged_704231074,422664
a_39576,3309,1,,11620,1_merged_704231074,422665
a_39571,3309,1,,11620,1_merged_704231074,422668
a_39578,3309,1,,11620,1_merged_704231074,422669
b_40121,3306,0,,11797,1_merged_704231078,426741
b_40052,3306,0,,11797,1_merged_704231078,426740
b_40118,3306,0,,11797,1_merged_704231078,426743
b_39968,3306,0,,11797,1_merged_704231078,426742
b_39911,3306,1,,11798,1_merged_704231078,426745
b_40118,3306,0,,11797,1_merged_704231078,426744
b_39911,3306,1,,11798,1_merged_704231078,426747
b_40123,3306,1,,11798,1_merged_704231078,426746
b_39911,3306,1,,11798,1_merged_704231078,426749
b_40123,3306,1,,11798,1_merged_704231078,426748
b_39995,3309,1,,11804,2_merged_704231080,426969
b_39997,3309,1,,11804,2_merged_704231080,426968
b_39960,3289,1,,11717,1_merged_704231078,425472
b_39967,3289,1,,11717,1_merged_704231078,425473
b_39964,3289,1,,11716,1_merged_704231078,425470
b_39966,3289,1,,11716,1_merged_704231078,425471
b_39963,3289,1,,11717,1_merged_704231078,425476
b_39964,3289,1,,11717,1_merged_704231078,425477
b_39961,3289,1,,11717,1_merged_704231078,425474
a_39442,3282,1,,11505,1_merged_704231074,420115
b_39965,3289,1,,11717,1_merged_704231078,425478
a_39690,3305,1,,11612,2_merged_704231076,422086
a_39689,3305,1,,11612,2_merged_704231076,422087
a_39690,3305,0,,11611,2_merged_704231076,422084
a_39689,3305,0,,11611,2_merged_704231076,422085
a_39690,3305,0,,11611,2_merged_704231076,422082
a_39689,3305,0,,11611,2_merged_704231076,422083
a_39690,3305,0,,11611,2_merged_704231076,422080
a_39689,3305,0,,11611,2_merged_704231076,422081
a_39690,3305,1,,11612,2_merged_704231076,422088
a_39689,3305,1,,11612,2_merged_704231076,422089
b_40669,3311,0,,11807,1_merged_704231078,433084
b_40671,3311,0,,11807,1_merged_704231078,433085
b_40665,3311,0,,11807,1_merged_704231078,433086
b_40666,3311,0,,11807,1_merged_704231078,433087
b_40665,3311,0,,11807,1_merged_704231078,433080
b_40666,3311,0,,11807,1_merged_704231078,433081
b_40667,3311,0,,11807,1_merged_704231078,433082
b_40668,3311,0,,11807,1_merged_704231078,433083
a_39565,3309,1,,11620,3_merged_704231075,422548
b_40668,3311,0,,11807,1_merged_704231078,433088
b_40667,3311,1,,11808,1_merged_704231078,433089
b_40162,3311,0,,11807,3_merged_704231079,427368
a_39563,3309,1,,11620,3_merged_704231075,422547
a_39733,3312,1,,11626,2_merged_704231076,423132
a_39562,3292,1,,11544,3_merged_704231075,421218
a_39565,3292,1,,11544,3_merged_704231075,421219
a_39560,3292,1,,11544,3_merged_704231075,421216
a_39561,3292,1,,11544,3_merged_704231075,421217
a_39564,3292,1,,11544,3_merged_704231075,421214
a_39559,3292,1,,11544,3_merged_704231075,421215
a_39562,3292,1,,11544,3_merged_704231075,421212
a_39563,3292,1,,11544,3_merged_704231075,421213
a_39560,3292,1,,11544,3_merged_704231075,421210
a_39561,3292,1,,11544,3_merged_704231075,421211
a_39561,3309,1,,11620,3_merged_704231075,422544
b_40007,3309,1,,11804,3_merged_704231079,427063
b_40159,3311,0,,11807,3_merged_704231079,427369
b_40003,3309,1,,11804,3_merged_704231079,427062
b_40006,3309,1,,11804,3_merged_704231079,427061
a_39732,3312,1,,11626,2_merged_704231076,423138
b_40002,3309,1,,11804,3_merged_704231079,427060
a_39462,3283,1,,11509,1_merged_704231074,420332
a_39460,3283,1,,11509,1_merged_704231074,420333
a_39478,3287,1,,11520,1_merged_704231074,420622
a_39473,3287,1,,11519,1_merged_704231074,420623
a_39474,3287,1,,11520,1_merged_704231074,420624
a_39462,3283,1,,11509,1_merged_704231074,420337
a_39472,3287,1,,11520,1_merged_704231074,420626
a_39474,3287,1,,11519,1_merged_704231074,420627
b_40189,3313,0,,11811,2_merged_704231080,427838
b_40188,3313,0,,11811,2_merged_704231080,427839
a_39440,3282,1,,11505,1_merged_704231074,420101
a_39443,3282,1,,11505,1_merged_704231074,420100
a_39442,3282,1,,11505,1_merged_704231074,420103
a_39441,3282,1,,11505,1_merged_704231074,420102
a_39440,3282,1,,11505,1_merged_704231074,420105
a_39443,3282,1,,11505,1_merged_704231074,420104
a_39442,3282,1,,11505,1_merged_704231074,420107
a_39441,3282,1,,11505,1_merged_704231074,420106
a_39440,3282,1,,11505,1_merged_704231074,420109
a_39443,3282,1,,11505,1_merged_704231074,420108
b_40189,3313,0,,11811,2_merged_704231080,427836
b_40154,3311,1,,11808,2_merged_704231080,427360
b_39906,3314,1,,11816,1_merged_704231078,428128
a_39733,3312,1,,11626,2_merged_704231076,423108
a_39735,3312,1,,11626,2_merged_704231076,423109
a_39732,3312,0,,11625,2_merged_704231076,423104
a_39735,3312,0,,11625,2_merged_704231076,423105
a_39732,3312,0,,11625,2_merged_704231076,423106
a_39732,3312,1,,11626,2_merged_704231076,423107
a_39735,3312,0,,11625,2_merged_704231076,423100
a_39734,3312,0,,11625,2_merged_704231076,423101
a_39732,3312,0,,11625,2_merged_704231076,423102
a_39735,3312,0,,11625,2_merged_704231076,423103
b_40159,3311,0,,11807,3_merged_704231079,427361
b_40133,3323,0,,11842,1_merged_704231078,428488
b_40133,3323,0,,11842,1_merged_704231078,428489
b_40237,3322,1,,11841,1_merged_704231078,428484
b_39918,3322,1,,11841,1_merged_704231078,428485
b_40238,3322,1,,11841,1_merged_704231078,428486
b_40239,3322,1,,11841,1_merged_704231078,428487
b_40114,3322,0,,11840,1_merged_704231078,428480
b_40236,3322,0,,11840,1_merged_704231078,428481
b_40057,3322,0,,11840,1_merged_704231078,428482
b_40148,3322,1,,11841,1_merged_704231078,428483
b_39996,3292,1,,11727,2_merged_704231080,425689
b_39991,3292,1,,11727,2_merged_704231080,425688
b_39998,3292,1,,11727,2_merged_704231080,425685
b_39997,3292,1,,11727,2_merged_704231080,425684
b_40000,3292,1,,11727,2_merged_704231080,425687
b_39999,3292,1,,11727,2_merged_704231080,425686
b_39994,3292,1,,11727,2_merged_704231080,425681
b_39993,3292,1,,11727,2_merged_704231080,425680
b_39996,3292,1,,11727,2_merged_704231080,425683
b_39995,3292,1,,11727,2_merged_704231080,425682
b_40161,3311,0,,11807,3_merged_704231079,427363
b_40156,3311,1,,11808,2_merged_704231080,427359
b_40157,3311,1,,11808,2_merged_704231080,427358
b_40154,3311,1,,11808,2_merged_704231080,427355
b_40156,3311,1,,11808,2_merged_704231080,427354
b_40155,3311,1,,11808,2_merged_704231080,427357
b_40158,3311,1,,11808,2_merged_704231080,427356
b_40158,3311,1,,11808,2_merged_704231080,427351
b_40154,3311,1,,11808,2_merged_704231080,427350
b_40157,3311,1,,11808,2_merged_704231080,427353
b_40155,3311,1,,11808,2_merged_704231080,427352
b_40178,3312,1,,11810,3_merged_704231079,427687
b_40180,3312,1,,11810,3_merged_704231079,427686
b_40179,3312,1,,11810,3_merged_704231079,427685
b_40178,3312,1,,11810,3_merged_704231079,427684
b_40180,3312,1,,11810,3_merged_704231079,427683
b_40179,3312,1,,11810,3_merged_704231079,427682
b_40178,3312,1,,11810,3_merged_704231079,427681
b_40180,3312,1,,11810,3_merged_704231079,427680
b_40180,3312,1,,11810,3_merged_704231079,427689
b_40179,3312,1,,11810,3_merged_704231079,427688
a_39554,3309,1,,11620,2_merged_704231076,422419
a_39558,3309,1,,11620,2_merged_704231076,422418
a_39553,3309,1,,11620,2_merged_704231076,422411
a_39557,3309,1,,11620,2_merged_704231076,422410
a_39550,3309,1,,11620,2_merged_704231076,422413
a_39554,3309,1,,11620,2_merged_704231076,422412
a_39556,3309,1,,11620,2_merged_704231076,422415
a_39555,3309,1,,11620,2_merged_704231076,422414
a_39553,3309,1,,11620,2_merged_704231076,422417
a_39557,3309,1,,11620,2_merged_704231076,422416
b_39993,3309,0,,11803,2_merged_704231080,426882
b_39999,3309,0,,11803,2_merged_704231080,426883
b_39992,3309,0,,11803,2_merged_704231080,426880
b_39998,3309,0,,11803,2_merged_704231080,426881
b_39995,3309,0,,11803,2_merged_704231080,426886
b_39991,3309,0,,11803,2_merged_704231080,426887
b_39994,3309,0,,11803,2_merged_704231080,426884
b_40000,3309,0,,11803,2_merged_704231080,426885
b_40145,3309,0,,11803,2_merged_704231080,426888
b_39996,3309,0,,11803,2_merged_704231080,426889
b_40028,3298,0,,11767,1_merged_704231078,426088
b_40030,3298,0,,11767,1_merged_704231078,426089
b_40028,3298,0,,11767,1_merged_704231078,426082
b_40030,3298,0,,11767,1_merged_704231078,426083
b_40028,3298,0,,11766,1_merged_704231078,426080
b_40030,3298,0,,11767,1_merged_704231078,426081
b_40028,3298,0,,11767,1_merged_704231078,426086
b_40030,3298,0,,11767,1_merged_704231078,426087
b_40028,3298,0,,11767,1_merged_704231078,426084
b_40030,3298,0,,11767,1_merged_704231078,426085
b_40128,3304,1,,11794,1_merged_704231078,426554
b_40128,3304,1,,11794,1_merged_704231078,426555
b_40128,3304,1,,11794,1_merged_704231078,426556
b_40102,3302,0,,11784,2_merged_704231080,426225
b_40128,3304,1,,11794,1_merged_704231078,426550
b_40100,3302,0,,11784,2_merged_704231080,426223
b_40128,3304,1,,11794,1_merged_704231078,426552
b_40128,3304,1,,11794,1_merged_704231078,426553
b_40102,3302,0,,11784,2_merged_704231080,426228
b_40100,3302,0,,11784,2_merged_704231080,426229
a_39531,3290,1,,11538,2_merged_704231076,421025
a_39532,3290,0,,11537,2_merged_704231076,421024
a_39530,3290,1,,11538,2_merged_704231076,421027
a_39532,3290,1,,11538,2_merged_704231076,421026
a_39530,3290,0,,11537,2_merged_704231076,421021
a_39532,3290,0,,11537,2_merged_704231076,421020
a_39530,3290,0,,11537,2_merged_704231076,421023
a_39532,3290,0,,11537,2_merged_704231076,421022
a_39532,3290,1,,11538,2_merged_704231076,421029
a_39531,3290,1,,11538,2_merged_704231076,421028
b_40159,3311,1,,11808,3_merged_704231079,427402
b_40027,3293,0,,11735,3_merged_704231079,425858
b_40027,3293,0,,11735,3_merged_704231079,425859
b_40026,3293,1,,11740,2_merged_704231080,425850
b_40026,3293,1,,11740,2_merged_704231080,425851
b_40026,3293,1,,11740,2_merged_704231080,425852
b_40027,3293,0,,11735,3_merged_704231079,425853
b_40027,3293,0,,11735,3_merged_704231079,425854
b_40027,3293,0,,11735,3_merged_704231079,425855
b_40027,3293,0,,11735,3_merged_704231079,425856
b_40027,3293,0,,11735,3_merged_704231079,425857
a_39461,3283,1,,11509,1_merged_704231074,420314
a_39444,3283,1,,11509,1_merged_704231074,420315
